127.0.0.1 - - [01/Mar/2017:23:32:56 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [01/Mar/2017:23:33:33 +0530] "GET /fbapp3/Status.html HTTP/1.1" 200 4429
127.0.0.1 - - [01/Mar/2017:23:33:46 +0530] "GET /fbapp3/assets/css/bootstrap-united.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:33:46 +0530] "GET /fbapp3/bootstrap/css/bootstrap-responsive.css HTTP/1.1" 404 1041
127.0.0.1 - - [01/Mar/2017:23:36:07 +0530] "GET /fbapp3/Status.html HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:36:07 +0530] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [01/Mar/2017:23:36:59 +0530] "GET /fbapp3/Status.html HTTP/1.1" 200 4432
127.0.0.1 - - [01/Mar/2017:23:36:59 +0530] "GET /fbapp3/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:36:59 +0530] "GET /fbapp3/assets/css/bootstrap-united.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:37:01 +0530] "GET /fbapp3/webapi/status/21/ HTTP/1.1" 200 589
127.0.0.1 - - [01/Mar/2017:23:37:31 +0530] "POST /fbapp3/webapi/status/add HTTP/1.1" 200 4
127.0.0.1 - - [01/Mar/2017:23:37:55 +0530] "GET /fbapp3/Status.html HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:37:55 +0530] "GET /fbapp3/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:37:55 +0530] "GET /fbapp3/assets/css/bootstrap-united.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:37:55 +0530] "GET /fbapp3/webapi/status/21/ HTTP/1.1" 200 694
127.0.0.1 - - [01/Mar/2017:23:43:59 +0530] "GET /fbapp3/Status.html HTTP/1.1" 200 4441
127.0.0.1 - - [01/Mar/2017:23:44:00 +0530] "GET /fbapp3/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:44:00 +0530] "GET /fbapp3/assets/css/bootstrap-united.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:45:59 +0530] "GET /fbapp3/Status.html HTTP/1.1" 200 4433
127.0.0.1 - - [01/Mar/2017:23:45:59 +0530] "GET /fbapp3/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:45:59 +0530] "GET /fbapp3/assets/css/bootstrap-united.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:46:17 +0530] "GET /fbapp3/Status.html HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:46:17 +0530] "GET /fbapp3/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:46:17 +0530] "GET /fbapp3/assets/css/bootstrap-united.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:53:47 +0530] "GET /fbapp3/Status.html HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:53:47 +0530] "GET /fbapp3/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:53:47 +0530] "GET /fbapp3/assets/css/bootstrap-united.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Mar/2017:23:53:51 +0530] "GET /fbapp3/webapi/status/21/ HTTP/1.1" 200 694
